Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TARGET-30-PARHAM-02	0.1167844158805626	0	0.1493139402981439	0	0.01041390774961431	0	0.29715493785339714	0	0	0	0	0.06797409612863395	0.0065789616885445325	0	0	0.33543520592880616	0	0	0.0163445344722974	0	0	0	0.1	0.12349240930434115	1.0455884134707425
TARGET-30-PARKGJ-01	0	0.014874454187408896	0.013223112318203842	0	0	0.026933736484984226	0	0.026130831850217525	0.004048745979082345	0	0.025992761438968538	0	0.0842981609413449	0.019628120213447765	0	0.423042351659682	0.14199009600729007	0	0	0.17788687145251247	0.04195075746685733	0	0.002	0.45140809117840297	0.8934193873170324
TARGET-30-PARSBI-01	0.05251711595026078	0.0504598003474428	0.015758994877458608	0.04071125429665502	0	0	0	0.046373101950275386	0.04459760432428223	0	0.10106651412879386	0	0	0.27766157777302547	0.020180801325972417	0.288769889834243	0.009188802902000906	0	0	0.05271454228958945	0	0	0.03	0.27793820795360424	0.9841653035147904
TARGET-30-PARYNK-01	0.01238353411097003	0	0.1804329321026431	0.25993509307747464	0	0.053330603348372654	0	0.11568522954713142	0.04180855919954495	0	0	0.026966662573613062	0.003268088730470846	0.009170070754013266	0.1987216822652813	0.028080214172335336	0.06903284270785183	0	0	0.001184487410297544	0	0	0.022	0.29898147389104024	0.9862868519297239
TARGET-30-PARZIP-01	0.1707571039504278	0.11242761356157434	0.09260346020889605	0.2299685546219671	0	0	0	0.13067627993600622	0.07962276958121513	0	0.01247284665754644	0.0036801234459133197	0.02317418066642638	0.010170895129195903	0.034104457853032455	0.0876363894042717	0.004323018013687391	0	0	0.008382306969839796	0	0	0.004	0.41553161061174476	0.9172307612785128
TARGET-30-PASFGG-01	0.05208292302137503	0.04548785553136381	0.023363533869359288	0.16922732642693172	0.10495237947088207	0	0	0.07019975059514592	0.10335451483342836	0	0	0.02584920856399082	0.0535808162491595	0.08572264172757889	0.030138594097438565	0.20709163240597017	0	0	0	0.02894882320737587	0	0	0.01	0.33637301914726425	0.9459998926655275
TARGET-30-PASMNT-01	0	0.034695734633341864	0.3594235698237371	0.024250665696496945	0.05604215782253854	0	0	0.003691585186021405	0	0	0	0.08012330493413995	0.01907218485715306	0	0	0.3132529923627229	0.040878612899038665	0	0	0.06856919178480958	0	0	0.002	0.44401537934358337	0.9045541852050003
TARGET-30-PASNEF-01	0.13756613064630352	0.0022683495338393783	0.15815721630548096	0.09976531058180246	0.010428043701693444	0	0	0.09878935781021109	0.02734453309943333	0	0	0.04602943145184652	0	0.17733210310195824	0	0.23453366271378506	0	0	0.007785861053646029	0	0	0	0.006	0.36554664179243795	0.9372496802692514
TARGET-30-PASPER-01	0	0.021504549131157357	0.21162818361790459	0.041753193690413276	0	0.04338726962607015	0	0.08398634145310707	0	0	0	0.05847845202200128	0.11361241638772204	0.09797788191974809	0	0.26808389982865694	0	0.02718492436393261	0	0.032402887959286586	0	0	0.022	0.29861798894478014	0.9659793236196721
TARGET-30-PASRFS-01	0.34721131893625984	0.14059075600236576	0.12849772383022257	0.04191522560885205	0.034253395560055376	0.0020272085537729467	0	0.04540346040068546	0.012221407890514931	0	0	0.022789829112406	0.028741525456481797	0	0.014032785654405576	0.1698618983314704	0	0	0.012453464662507413	0	0	0	0	0.7065240127007301	0.7082802512432399
