	antecedent	consequent	confidence	lift
20089	24,36,47,62	38	0.9596662030598053	1.4204296754204206
20090	24,37,53,58	31	0.9829787234042553	1.4549352103663413
20091	29,31,34,37,59	57	0.9829545454545454	1.4548994238843862
20092	19,36,47,59	44	0.9747545582047685	1.4427623858283254
20093	30,37,47,57	59	0.969187675070028	1.4345226812529521
20094	18,31,37	6	0.9216944801026957	1.3850545186276062
20095	40,48	45	0.9169909208819714	1.3601867480897274
20096	33,50,63	31	0.9786931818181818	1.4485920564398007
20097	15,32,47,57	31	0.9842857142857143	1.4568697253337424
20098	13,34,53	29	0.9676966292134831	1.432315741198904
20099	18,38,44,47	35	0.9778393351800554	1.44888452029905
20100	12,24,37,51	31	0.9829059829059829	1.4548275450531087
20101	29,37,60	45	0.9433962264150944	1.3993541442411195
20102	35,47,59	45	0.922077922077922	1.3677323752673591
20103	34,37,60	45	0.9459459459459459	1.4031361824687982
20104	24,32,35,36	18	0.9609483960948396	1.425389547705801
20105	12,33,58	23	0.9427012278308322	1.3968196687643946
20106	18,40,62	35	0.97054698457223	1.438079295419928
20107	7,59	23	0.9226666666666666	1.3671340501792115
20108	24,35,66	18	0.9624478442280946	1.4276137022027067
20109	6,33,35,44	24	0.9704641350210971	1.436412006508133
20110	8,24,44,59	31	0.9801699716713881	1.4507778957713993
20111	13,53	6	0.9074315514993481	1.363621240966305
20112	24,44,57,59,62	47	0.9913916786226685	1.4673874684662054
20113	30,48,63	38	0.9439124487004104	1.397112088409415
20114	18,31,59,60	35	0.9664335664335665	1.4319843597262953
20115	36,57,59,66	6	0.953168044077135	1.4323506703798168
20116	10,17,65	21	0.944141689373297	1.400459900921855
20117	24,32,35,47,64	31	0.9871244635193133	1.4610714400962552
20118	19,31,64	6	0.9350473612990527	1.4051202441331458
20119	24,35,44,47,64	33	0.9774011299435028	1.4466796531279773
20120	12,36,37	6	0.9429347826086957	1.416972879427244
20121	1,15	4	0.9664335664335665	1.4764362023785529
20122	43,51,58	35	0.9706703910614525	1.4382621493362169
20123	3,6,19	35	0.9610027855153204	1.423937460688292
20124	34,37,39,60	31	0.9801136363636364	1.4506945122546626
20125	23,54,55	18	0.9654218533886584	1.4320250957691834
20126	31,45,52	48	0.945280437756498	1.4006413368047896
20127	32,58,63	31	0.9732394366197183	1.4405198105928805
20128	39,53,55	18	0.9544198895027625	1.4157057133851525
20129	15,33,37,59	31	0.9857142857142858	1.458984195181832
20130	44,54,57,62	19	0.967741935483871	1.44011704870062
20131	31,36,57,58	45	0.9569444444444445	1.41945042459036
20132	16,34,35	65	0.9477303988995873	1.4042714942834746
20133	33,44,55	18	0.961218836565097	1.4257906962181957
20134	24,35,58	45	0.9354838709677419	1.3876176256120003
20135	10,33,54	47	0.971830985915493	1.438435122010257
20136	19,31,33	4	0.9327052489905787	1.4249089058858286
20137	48,52,61	45	0.9544198895027625	1.4157057133851525
20138	44,57,59	30	0.9225721784776902	1.3669940450992013
20139	18,34,51,64	35	0.9704225352112676	1.4378948962592764
20140	9,39,54	44	0.9517906336088154	1.408772817521963
20141	17,47,64	16	0.9250334672021419	1.3721163808445118
20142	29,34,38	45	0.9454061251664447	1.4023354579971592
20143	8,33,35,64	43	0.9478021978021978	1.4028694184440693
20144	3,36,38,64	35	0.9773049645390071	1.4480927324029589
20145	33,47,54,57	18	0.962707182320442	1.4279983823870497
20146	3,43,53	24	0.965034965034965	1.4283761351430522
20147	38,39,51,64	31	0.9788434414668548	1.4488144600873532
20148	2,35,36,53	59	0.9786931818181818	1.4485920564398007
20149	4,60	23	0.9299867899603699	1.3779804264143976
20150	18,23,45	9	0.947945205479452	1.4245021735558179
20151	24,31,32,64	6	0.9490358126721763	1.4261410576469564
20152	35,57,66	45	0.9348710990502035	1.3867086915943816
20153	11,33,39	31	0.9676966292134831	1.432315741198904
20154	29,51,59,66	31	0.9745762711864406	1.4424984980611333
20155	13,41	9	0.9213630406290957	1.3845564558199497
20156	9,24,64,65	31	0.971830985915493	1.438435122010257
20157	25,40,65	52	0.9465020576131687	1.4024514359042437
20158	29,47,51,66	31	0.9828815977175464	1.4547914518311265
20159	6,29,34,51	31	0.9886201991465149	1.463285321615357
20160	10,21,55	63	0.9529737206085753	1.4105239387740245
20161	57,59,62,66	47	0.985734664764622	1.4590143588030602
20162	18,24,38,47	35	0.9735744089012517	1.442565091898844
20163	28,30,61	31	0.9596100278551533	1.4203465288769077
20164	15,34,38	18	0.9762237762237762	1.4480477541833838
20165	18,24,38,62	35	0.9717912552891397	1.4399229567617575
20166	36,53,58,64	18	0.9598337950138505	1.4237362427654316
20167	31,36,38,54	18	0.9733893557422969	1.4438434146532673
20168	8,57,59,62	47	0.9900709219858156	1.4654325784065025
20169	33,47,69	31	0.9649859943977591	1.4283036522879828
20170	17,34,59	31	0.981638418079096	1.452951385728243
20171	18,35,38,53	24	0.972027972027972	1.4387266868469875
20172	6,34,44	35	0.9652294853963839	1.4302002482539968
20173	29,31,34,63	51	0.9622905027932961	1.4243139772815918
